"","Module_des","chi_square","p_value"
"247","M00860_Bacillus anthracis pathogenicity signature, polyglutamic acid capsule biosynthesis",7.76410256410257,0.169724556886609
"248","M00861_beta-Oxidation, peroxisome, VLCFA",26.0000000000001,8.92359833449606e-05
"249","M00866_KDO2-lipid A biosynthesis, Raetz pathway, non-LpxL-LpxM type",26.0000000000001,8.92359833449606e-05
"250","M00867_KDO2-lipid A modification pathway",12.7472527472527,0.0258659850719962
"251","M00868_Heme biosynthesis, animals and fungi, glycine => heme",5.07070707070708,0.4073121403107
"252","M00872_O-glycan biosynthesis, mannose type (core M3)",8.00000000000004,0.15623562757772
"253","M00873_Fatty acid biosynthesis in mitochondria, animals",NA,NA
"254","M00874_Fatty acid biosynthesis in mitochondria, fungi",NA,NA
"255","M00875_Staphyloferrin B biosynthesis, L-serine => staphyloferrin B",2.23181818181818,0.816226950083166
"256","M00878_Phenylacetate degradation, phenylaxetate => acetyl-CoA/succinyl-CoA",12.5535657936257,0.0279415530795813
"257","M00879_Arginine succinyltransferase pathway, arginine => glutamate",15.2367626886145,0.00939717309196594
"258","M00880_Molybdenum cofactor biosynthesis, GTP => molybdenum cofactor",16.7817429279103,0.00493287913471987
"259","M00881_Lipoic acid biosynthesis, plants and bacteria, octanoyl-ACP => dihydrolipoyl-E2/H",NA,NA
"260","M00882_Lipoic acid biosynthesis, eukaryotes, octanoyl-ACP => dihydrolipoyl-H",NA,NA
"261","M00883_Lipoic acid biosynthesis, animals and bacteria, octanoyl-ACP => dihydrolipoyl-H => dihydrolipoyl-E2",NA,NA
"262","M00884_Lipoic acid biosynthesis, octanoyl-CoA => dihydrolipoyl-E2",NA,NA
"263","M00885_Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA)",1.07692307692306,0.956125880908819
"264","M00886_Meromycolic acid biosynthesis, initiation and elongation FAS II (KasA and KasB)",1.07692307692306,0.956125880908819
"265","M00887_Mycolic acid biosynthesis, meromycolic acid + alpha-carboxyacyl-CoA + trehalose => TMM => TDM/mAGP/GMM",1.07692307692306,0.956125880908819
"266","M00888_Galactofuranan biosynthesis, decaprenyl phosphate + UDP-GlcNAc (+ dTDP-Rha/UDP-Galf) => GL-5",5.27499999999999,0.383248711488484
"267","M00892_UDP-N-acetyl-D-glucosamine biosynthesis, eukaryotes, glucose => UDP-GlcNAc",22.1644444444445,0.000487217838582572
"268","M00895_Thiamine biosynthesis, prokaryotes, AIR (+ DXP/glycine) => TMP/TPP",21.3872203683105,0.00068433766376343
"269","M00896_Thiamine biosynthesis, archaea, AIR (+ NAD+) => TMP/TPP",14.1619423513934,0.0146128089368674
"270","M00897_Thiamine biosynthesis, plants, AIR (+ NAD+) => TMP/thiamine/TPP",10.5411764705882,0.0612754521804126
"271","M00898_Thiamine biosynthesis, pyridoxal-5P => TMP/thiamine/TPP",19.3142857142857,0.00167947617997621
"272","M00899_Thiamine salvage pathway, HMP/HET => TMP",19.5959595959596,0.00148773685829432
"273","M00905_Grixazone biosynthesis, aspartate 4-semialdehyde => grixazone B",1.07692307692306,0.956125880908819
"274","M00909_UDP-N-acetyl-D-glucosamine biosynthesis, prokaryotes, glucose => UDP-GlcNAc",19.7651779935275,0.00138307156588859
"275","M00911_Riboflavin biosynthesis, fungi, GTP => riboflavin/FMN/FAD",11.6181069958848,0.0404123387062132
"276","M00912_NAD biosynthesis, tryptophan => quinolinate => NAD",18.203657120743,0.00270170282171599
"277","M00913_Pantothenate biosynthesis, 2-oxoisovalerate/spermine => pantothenate",17.8823529411765,0.00309752097066422
