"","ko","ko_description"
"147","K00305","soxG; sarcosine oxidase, subunit gamma [EC:1.5.3.24 1.5.3.1]"
"148","K00306","PIPOX; sarcosine oxidase / L-pipecolate oxidase [EC:1.5.3.1 1.5.3.7]"
"149","K00307","BBE1; reticuline oxidase [EC:1.21.3.3]"
"150","K00309","dmg; dimethylglycine oxidase [EC:1.5.3.10]"
"151","K00314","SARDH; sarcosine dehydrogenase [EC:1.5.8.3]"
"152","K00315","DMGDH; dimethylglycine dehydrogenase [EC:1.5.8.4]"
"153","K00318","PRODH, fadM, putB; proline dehydrogenase [EC:1.5.5.2]"
"154","K00319","mtd; methylenetetrahydromethanopterin dehydrogenase [EC:1.5.98.1]"
"155","K00320","mer; 5,10-methylenetetrahydromethanopterin reductase [EC:1.5.98.2]"
"156","K00330","nuoA; NADH-quinone oxidoreductase subunit A [EC:7.1.1.2]"
"157","K00331","nuoB; NADH-quinone oxidoreductase subunit B [EC:7.1.1.2]"
"158","K00332","nuoC; NADH-quinone oxidoreductase subunit C [EC:7.1.1.2]"
"159","K00333","nuoD; NADH-quinone oxidoreductase subunit D [EC:7.1.1.2]"
"160","K00334","nuoE; NADH-quinone oxidoreductase subunit E [EC:7.1.1.2]"
"161","K00335","nuoF; NADH-quinone oxidoreductase subunit F [EC:7.1.1.2]"
"162","K00336","nuoG; NADH-quinone oxidoreductase subunit G [EC:7.1.1.2]"
"163","K00337","nuoH; NADH-quinone oxidoreductase subunit H [EC:7.1.1.2]"
"164","K00338","nuoI; NADH-quinone oxidoreductase subunit I [EC:7.1.1.2]"
"165","K00339","nuoJ; NADH-quinone oxidoreductase subunit J [EC:7.1.1.2]"
"166","K00340","nuoK; NADH-quinone oxidoreductase subunit K [EC:7.1.1.2]"
"167","K00341","nuoL; NADH-quinone oxidoreductase subunit L [EC:7.1.1.2]"
"168","K00342","nuoM; NADH-quinone oxidoreductase subunit M [EC:7.1.1.2]"
"169","K00343","nuoN; NADH-quinone oxidoreductase subunit N [EC:7.1.1.2]"
"170","K00360","nasB; assimilatory nitrate reductase electron transfer subunit [EC:1.7.99.-]"
"171","K00361","nasB; nitrite reductase [NAD(P)H] [EC:1.7.1.4]"
"172","K00362","nirB; nitrite reductase (NADH) large subunit [EC:1.7.1.15]"
"173","K00363","nirD; nitrite reductase (NADH) small subunit [EC:1.7.1.15]"
"174","K00365","uaZ; urate oxidase [EC:1.7.3.3]"
"175","K00366","nirA; ferredoxin-nitrite reductase [EC:1.7.7.1]"
"176","K00367","narB; ferredoxin-nitrate reductase [EC:1.7.7.2]"
"177","K00368","nirK; nitrite reductase (NO-forming) [EC:1.7.2.1]"
"178","K00370","narG, narZ, nxrA; nitrate reductase / nitrite oxidoreductase, alpha subunit [EC:1.7.5.1 1.7.99.-]"
"179","K00371","narH, narY, nxrB; nitrate reductase / nitrite oxidoreductase, beta subunit [EC:1.7.5.1 1.7.99.-]"
"180","K00372","nasC, nasA; assimilatory nitrate reductase catalytic subunit [EC:1.7.99.-]"
"181","K00374","narI, narV; nitrate reductase gamma subunit [EC:1.7.5.1 1.7.99.-]"
"182","K00376","nosZ; nitrous-oxide reductase [EC:1.7.2.4]"
"183","K00380","cysJ; sulfite reductase (NADPH) flavoprotein alpha-component [EC:1.8.1.2]"
"184","K00381","cysI; sulfite reductase (NADPH) hemoprotein beta-component [EC:1.8.1.2]"
"185","K00382","DLD, lpd, pdhD; dihydrolipoyl dehydrogenase [EC:1.8.1.4]"
"186","K00390","cysH; phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]"
"187","K00392","sir; sulfite reductase (ferredoxin) [EC:1.8.7.1]"
"188","K00394","aprA; adenylylsulfate reductase, subunit A [EC:1.8.99.2]"
"189","K00395","aprB; adenylylsulfate reductase, subunit B [EC:1.8.99.2]"
"190","K00399","mcrA; methyl-coenzyme M reductase alpha subunit [EC:2.8.4.1]"
"191","K00401","mcrB; methyl-coenzyme M reductase beta subunit [EC:2.8.4.1]"
"192","K00402","mcrG; methyl-coenzyme M reductase gamma subunit [EC:2.8.4.1]"
"193","K00404","ccoN; cytochrome c oxidase cbb3-type subunit I [EC:7.1.1.9]"
"194","K00405","ccoO; cytochrome c oxidase cbb3-type subunit II"
"195","K00406","ccoP; cytochrome c oxidase cbb3-type subunit III"
"196","K00407","ccoQ; cytochrome c oxidase cbb3-type subunit IV"
"197","K00410","fbcH; ubiquinol-cytochrome c reductase cytochrome b/c1 subunit"
"198","K00411","UQCRFS1, RIP1, petA; ubiquinol-cytochrome c reductase iron-sulfur subunit [EC:7.1.1.8]"
"199","K00412","CYTB, petB; ubiquinol-cytochrome c reductase cytochrome b subunit"
"200","K00413","CYC1, CYT1, petC; ubiquinol-cytochrome c reductase cytochrome c1 subunit"
"201","K00414","QCR1, UQCRC1; ubiquinol-cytochrome c reductase core subunit 1"
"202","K00415","QCR2, UQCRC2; ubiquinol-cytochrome c reductase core subunit 2"
"203","K00416","QCR6, UQCRH; ubiquinol-cytochrome c reductase subunit 6"
"204","K00417","QCR7, UQCRB; ubiquinol-cytochrome c reductase subunit 7"
"205","K00418","QCR8, UQCRQ; ubiquinol-cytochrome c reductase subunit 8"
"206","K00419","QCR9, UCRC; ubiquinol-cytochrome c reductase subunit 9"
"207","K00420","QCR10, UQCR; ubiquinol-cytochrome c reductase subunit 10"
"208","K00424","cydX; cytochrome bd-I ubiquinol oxidase subunit X [EC:7.1.1.7]"
"209","K00425","cydA; cytochrome bd ubiquinol oxidase subunit I [EC:7.1.1.7]"
"210","K00426","cydB; cytochrome bd ubiquinol oxidase subunit II [EC:7.1.1.7]"
"211","K00431","TPO; thyroid peroxidase [EC:1.11.1.8]"
"212","K00435","hemQ; hydrogen peroxide-dependent heme synthase [EC:1.3.98.5]"
"213","K00446","dmpB, xylE; catechol 2,3-dioxygenase [EC:1.13.11.2]"
"214","K00451","HGD, hmgA; homogentisate 1,2-dioxygenase [EC:1.13.11.5]"
"215","K00452","HAAO; 3-hydroxyanthranilate 3,4-dioxygenase [EC:1.13.11.6]"
